nem bír megáll megjegyzés nélkül
se bír moccan
nem bír követ
, mert néz se bír
nem bír hallgat , valahogy
én néz se bír
nem bír hallgat
nem bír hallgat , valahogy
, hogy moccan sem bír
bír tovább néz , kivisz
is bír abbahagy
meg bír tesz , ami
ér , beszél alig bír
el bír olvas , ami
nem bír abbahagy , felvillan
bír otthon marad , elhatároz
nem bír követ
